x,y,z
-2.780717703213466674e-01,-1.005590796099055523e-01,8.910130721786438945e-01
-2.907276997189166545e-01,-1.021539570381498896e-01,8.848431188597244423e-01
-3.033795712626888852e-01,-1.037610638884113173e-01,8.785036578106641958e-01
-3.160273604274025927e-01,-1.053803900773150615e-01,8.719947248590156352e-01
-3.286710425114225398e-01,-1.070119254579328383e-01,8.653163561767414080e-01
-3.413105926404338963e-01,-1.086556598194963752e-01,8.584685882865100703e-01
-3.539459857711340085e-01,-1.103115828871287091e-01,8.514514580678066435e-01
-3.665771966949175620e-01,-1.119796843215927762e-01,8.442650027628609832e-01
-3.792042000415518643e-01,-1.136599537190567111e-01,8.369092599823960699e-01
-3.918269702828384715e-01,-1.153523806108755489e-01,8.293842677111982198e-01
-4.044454817362587162e-01,-1.170569544633885684e-01,8.216900643135126581e-01
-4.170597085685999184e-01,-1.187736646777320798e-01,8.138266885382661187e-01
-4.296696247995592799e-01,-1.205025005896668971e-01,8.057941795241205796e-01
-4.422752043053238546e-01,-1.222434514694201863e-01,7.975925768043601316e-01
-4.542097129869474559e-01,-1.238998553390338597e-01,8.041925217669055881e-01
-4.661407900593762532e-01,-1.255675272845065416e-01,8.106204114028902064e-01
-4.780684274867774142e-01,-1.272464602836084202e-01,8.168762820954270643e-01
-4.899926170434651951e-01,-1.289366473007306502e-01,8.229601698287922762e-01
-5.019133503106258942e-01,-1.306380812856294538e-01,8.288721101955399684e-01
-5.138306186730420277e-01,-1.323507551721539999e-01,8.346121384038073243e-01
-5.257444133158200028e-01,-1.340746618769589060e-01,8.401802892848113657e-01
-5.376547252211258954e-01,-1.358097942982018080e-01,8.455765973005395786e-01
-5.495615451649346062e-01,-1.375561453142268020e-01,8.508010965516369373e-01
-5.614648637137967802e-01,-1.393137077822346193e-01,8.558538207854908819e-01
-5.733646712216294850e-01,-1.410824745369404221e-01,8.607348034045153584e-01
-5.852609578265354218e-01,-1.428624383892199423e-01,8.654440774746348097e-01
-5.971537134476567754e-01,-1.446535921247452949e-01,8.699816757339694506e-01
-6.090429277820698095e-01,-1.464559285026112989e-01,8.743476306017213817e-01
-6.209285903017256469e-01,-1.482694402539534162e-01,8.785419741872609878e-01
-6.328106902504435638e-01,-1.500941200805587794e-01,8.825647382994139534e-01
-6.446892166409637914e-01,-1.519299606534712521e-01,8.864159544559467863e-01
-6.565641582520652664e-01,-1.537769546115919650e-01,8.900956538932492945e-01
-6.514636284689302448e-01,-1.488790317198423752e-01,8.929383642098421836e-01
-6.463654722362733862e-01,-1.439799956207342413e-01,8.956106940371592051e-01
-6.412696773852859522e-01,-1.390798442870141705e-01,8.981126649947518414e-01
-6.361762319259582910e-01,-1.341785758509488891e-01,9.004442984022233976e-01
-6.310851240507401316e-01,-1.292761886083348966e-01,9.026056152946489997e-01
-6.259963421380776438e-01,-1.243726810223991786e-01,9.045966364385761294e-01
-6.209098747558031706e-01,-1.194680517275684833e-01,9.064173823485933701e-01
-6.158257106643564294e-01,-1.145622995330844440e-01,9.080678733044527107e-01
-6.107438388198123125e-01,-1.096554234264415090e-01,9.095481293687259772e-01
-6.056642483766944141e-01,-1.047474225766250044e-01,9.108581704049688588e-01
-6.005869286905501925e-01,-9.983829633712673624e-02,9.119980160963648830e-01
-5.955118693202678948e-01,-9.492804424871682800e-02,9.129676859648141463e-01
-5.904390600301149261e-01,-9.001666604195097954e-02,9.137671993904272760e-01
-5.853684907914780133e-01,-8.510416163939442391e-02,9.143965756313822135e-01
-5.803001517842903967e-01,-8.019053115754513905e-02,9.148558338440959670e-01
-5.752340333981306175e-01,-7.527577490844124253e-02,9.151449931036599317e-01
-5.701701262329809117e-01,-7.035989340093971867e-02,9.152640724244848203e-01
-5.651084210996372148e-01,-6.544288734165636112e-02,9.152130907810982485e-01
-5.600489090197633413e-01,-6.052475763555954097e-02,9.149920671290356911e-01
-5.549915812255868941e-01,-5.560550538621334554e-02,9.146010204257654097e-01
-5.499364291592370169e-01,-5.068513189566873495e-02,9.140399696515860706e-01
-5.448834444717267633e-01,-4.576363866400433300e-02,9.133089338304364313e-01
-5.398326190215864129e-01,-4.084102738852164044e-02,9.124079320505583679e-01
-5.347839448731569467e-01,-3.591729996260212276e-02,9.113369834849545104e-01
-5.297374142945558972e-01,-3.099245847423670250e-02,9.100961074115848648e-01
-5.246930197553292263e-01,-2.606650520424046505e-02,9.086853232332501307e-01
-5.196507539238071072e-01,-2.113944262416787845e-02,9.071046504971125302e-01
-5.146106096641818173e-01,-1.621127339394576664e-02,9.053541089138077425e-01
-5.095725800333280597e-01,-1.128200035924301070e-02,9.034337183761081969e-01
